tenure,monthly_charges,total_charges,support_calls,contract_type,internet_service,payment_method,tech_support,online_security,streaming_services,churn
52,118.95,6169.07,7,One year,Fiber optic,Electronic check,No,Yes,Yes,0
15,88.43,1267.9,0,Two year,DSL,Credit card,Yes,Yes,No,0
72,114.9,8282.92,3,One year,Fiber optic,Electronic check,No,No,No,0
61,34.26,2012.01,5,Two year,DSL,Credit card,No,No,No,0
21,58.21,1224.4,5,Month-to-month,DSL,Bank transfer,Yes,Yes,No,1
24,75.47,1740.14,6,Month-to-month,DSL,Bank transfer,No,Yes,No,1
3,27.68,106.1,10,Month-to-month,Fiber optic,Electronic check,No,Yes,No,1
22,20.42,403.02,4,Two year,DSL,Electronic check,Yes,No,Yes,0
53,87.04,4590.57,4,Two year,No,Credit card,Yes,No,No,0
2,84.18,183.06,3,One year,Fiber optic,Electronic check,Yes,Yes,No,1
30,61.08,1793.77,5,Month-to-month,No,Credit card,Yes,Yes,No,1
38,68.96,2617.58,6,Month-to-month,No,Electronic check,Yes,Yes,No,1
2,61.54,47.39,9,Month-to-month,Fiber optic,Electronic check,No,No,No,1
64,22.4,1465.14,9,Two year,No,Electronic check,Yes,No,No,0
60,53.54,3300.65,0,Month-to-month,DSL,Credit card,No,Yes,No,0
21,37.71,931.52,8,Month-to-month,No,Credit card,Yes,No,No,1
33,29.84,989.28,7,Month-to-month,DSL,Bank transfer,No,No,Yes,1
58,115.67,6748.27,6,Two year,Fiber optic,Credit card,Yes,No,Yes,0
22,79.94,1669.65,8,Month-to-month,Fiber optic,Mailed check,No,No,No,1
49,92.87,4625.77,2,One year,No,Credit card,Yes,Yes,No,0
59,51.54,3079.67,9,Month-to-month,No,Bank transfer,Yes,No,Yes,1
42,59.31,2466.82,3,Month-to-month,DSL,Bank transfer,Yes,No,Yes,0
60,43.69,2683.26,6,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
15,29.7,432.78,5,Two year,Fiber optic,Electronic check,Yes,No,No,1
62,37.9,2326.9,1,Two year,Fiber optic,Bank transfer,No,Yes,No,0
62,99.75,6208.27,1,Month-to-month,DSL,Credit card,Yes,Yes,Yes,0
47,87.75,4071.08,9,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1
62,74.69,4681.86,6,Two year,No,Credit card,Yes,No,Yes,0
51,67.51,3390.21,8,One year,Fiber optic,Electronic check,No,No,Yes,1
55,112.24,6120.7,10,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,1
64,27.27,1699.8,8,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,0
3,48.06,182.16,6,One year,Fiber optic,Bank transfer,No,No,Yes,1
51,54.99,2773.65,10,One year,No,Credit card,Yes,Yes,No,0
7,98.24,620.28,7,Two year,Fiber optic,Electronic check,No,Yes,Yes,1
21,119.25,2473.97,9,Two year,Fiber optic,Electronic check,Yes,No,No,1
39,44.07,1717.13,2,Month-to-month,No,Credit card,No,Yes,No,1
18,107.43,1874.69,0,One year,DSL,Bank transfer,No,No,Yes,1
4,103.06,354.66,6,Month-to-month,No,Electronic check,Yes,Yes,Yes,1
60,42.47,2653.76,7,One year,Fiber optic,Bank transfer,Yes,No,No,0
14,59.93,795.99,1,One year,No,Credit card,No,Yes,No,1
9,60.97,532.58,8,Month-to-month,DSL,Electronic check,No,Yes,No,1
53,117.82,6226.1,3,Two year,Fiber optic,Electronic check,No,No,No,1
2,38.09,55.11,9,One year,No,Bank transfer,No,No,No,1
60,99.92,6026.27,10,Two year,Fiber optic,Credit card,Yes,Yes,No,0
71,53.42,3840.23,8,Month-to-month,DSL,Electronic check,No,Yes,Yes,0
44,93.09,4080.66,2,Month-to-month,DSL,Bank transfer,No,No,No,0
8,62.0,434.18,7,One year,Fiber optic,Electronic check,No,No,Yes,1
47,77.84,3722.2,10,Two year,Fiber optic,Electronic check,No,Yes,Yes,0
35,103.26,3609.33,1,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,1
36,100.42,3701.64,2,Month-to-month,Fiber optic,Electronic check,No,No,Yes,1
50,106.64,5219.72,0,Month-to-month,No,Bank transfer,No,Yes,Yes,0
4,25.96,113.61,4,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,1
2,89.21,274.35,3,Two year,DSL,Electronic check,Yes,No,Yes,1
6,34.0,186.34,0,One year,DSL,Electronic check,Yes,No,No,1
54,61.58,3314.05,9,Two year,Fiber optic,Electronic check,No,Yes,Yes,1
4,74.86,314.22,8,One year,Fiber optic,Bank transfer,No,No,No,1
54,60.27,3226.64,5,Month-to-month,Fiber optic,Credit card,Yes,No,No,0
63,71.96,4517.88,5,One year,Fiber optic,Credit card,Yes,Yes,No,0
18,119.65,2136.81,10,One year,Fiber optic,Mailed check,Yes,No,Yes,1
44,33.52,1443.51,1,Two year,No,Mailed check,Yes,No,Yes,0
34,87.55,3038.14,6,Month-to-month,No,Credit card,No,Yes,Yes,1
62,59.6,3718.25,8,Month-to-month,DSL,Bank transfer,No,No,No,0
14,33.3,478.73,5,Month-to-month,No,Credit card,No,No,Yes,1
48,35.87,1762.19,10,One year,Fiber optic,Mailed check,Yes,No,No,1
15,114.93,1710.73,7,Month-to-month,Fiber optic,Credit card,No,No,Yes,1
72,107.96,7734.41,4,One year,Fiber optic,Electronic check,No,Yes,No,0
62,110.7,6833.27,1,Two year,No,Credit card,No,Yes,Yes,0
40,119.15,4766.09,3,Month-to-month,No,Bank transfer,No,Yes,No,1
53,40.83,2111.03,0,One year,Fiber optic,Bank transfer,No,No,No,0
24,55.54,1307.95,0,Two year,DSL,Bank transfer,No,No,Yes,0
